date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:43:36	47906/47906	U-----	200	untouched ('')	image/jpeg	etag:%2268c66dc8-bb22%22	https://themewagon.github.io/Charitize/img/donation-2.jpg	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/img/donation-2.jpg	(from https://themewagon.github.io/Charitize/)
20:43:37	64985/64985	U-----	200	untouched ('')	image/jpeg	etag:%2268c66dc8-fdd9%22	https://themewagon.github.io/Charitize/img/donation-3.jpg	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/img/donation-3.jpg	(from https://themewagon.github.io/Charitize/)
20:43:37	55586/55586	U-----	200	untouched ('')	image/jpeg	etag:%2268c66dc8-d922%22	https://themewagon.github.io/Charitize/img/event-1.jpg	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/img/event-1.jpg	(from https://themewagon.github.io/Charitize/)
20:43:37	47839/47839	U-----	200	untouched ('')	image/jpeg	etag:%2268c66dc8-badf%22	https://themewagon.github.io/Charitize/img/event-2.jpg	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/img/event-2.jpg	(from https://themewagon.github.io/Charitize/)
20:44:23	50967/50967	U-----	200	untouched ('')	image/jpeg	etag:%2268c66dc8-c717%22	https://themewagon.github.io/Charitize/img/event-3.jpg	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/img/event-3.jpg	(from https://themewagon.github.io/Charitize/)
20:44:23	35653/35653	U-----	200	untouched ('')	image/jpeg	etag:%2268c66dc8-8b45%22	https://themewagon.github.io/Charitize/img/team-1.jpg	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/img/team-1.jpg	(from https://themewagon.github.io/Charitize/)
20:44:23	41110/41110	U-----	200	untouched ('')	image/jpeg	etag:%2268c66dc8-a096%22	https://themewagon.github.io/Charitize/img/team-3.jpg	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/img/team-3.jpg	(from https://themewagon.github.io/Charitize/)
20:44:24	24306/24306	U-----	200	untouched ('')	image/jpeg	etag:%2268c66dc8-5ef2%22	https://themewagon.github.io/Charitize/img/team-2.jpg	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/img/team-2.jpg	(from https://themewagon.github.io/Charitize/)
20:44:24	48559/48559	U-----	200	untouched ('')	image/jpeg	etag:%2268c66dc8-bdaf%22	https://themewagon.github.io/Charitize/img/testimonial-1.jpg	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/img/testimonial-1.jpg	(from https://themewagon.github.io/Charitize/)
20:45:09	30931/30931	U-----	200	untouched ('')	image/jpeg	etag:%2268c66dc8-78d3%22	https://themewagon.github.io/Charitize/img/testimonial-2.jpg	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/img/testimonial-2.jpg	(from https://themewagon.github.io/Charitize/)
20:45:09	15315/15315	U-----	200	untouched ('')	image/jpeg	etag:%2268c66dc8-3bd3%22	https://themewagon.github.io/Charitize/img/gallery-1.jpg	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/img/gallery-1.jpg	(from https://themewagon.github.io/Charitize/)
20:45:09	74420/74420	U-----	200	untouched ('')	image/jpeg	etag:%2268c66dc8-122b4%22	https://themewagon.github.io/Charitize/img/testimonial-3.jpg	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/img/testimonial-3.jpg	(from https://themewagon.github.io/Charitize/)
20:45:09	12745/12745	U-----	200	untouched ('')	image/jpeg	etag:%2268c66dc8-31c9%22	https://themewagon.github.io/Charitize/img/gallery-2.jpg	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/img/gallery-2.jpg	(from https://themewagon.github.io/Charitize/)
20:45:54	11227/11227	U-----	200	untouched ('')	image/jpeg	etag:%2268c66dc8-2bdb%22	https://themewagon.github.io/Charitize/img/gallery-3.jpg	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/img/gallery-3.jpg	(from https://themewagon.github.io/Charitize/)
20:45:54	13821/13821	U-----	200	untouched ('')	image/jpeg	etag:%2268c66dc8-35fd%22	https://themewagon.github.io/Charitize/img/gallery-4.jpg	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/img/gallery-4.jpg	(from https://themewagon.github.io/Charitize/)
20:45:57	13146/13146	U-----	200	untouched ('')	image/jpeg	etag:%2268c66dc8-335a%22	https://themewagon.github.io/Charitize/img/gallery-5.jpg	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/img/gallery-5.jpg	(from https://themewagon.github.io/Charitize/)
20:45:57	12957/12957	U-----	200	untouched ('')	image/jpeg	etag:%2268c66dc8-329d%22	https://themewagon.github.io/Charitize/img/gallery-6.jpg	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/img/gallery-6.jpg	(from https://themewagon.github.io/Charitize/)
20:46:36	88145/88145	U-----	200	untouched ('')	application/javascript	etag:W/%2228feccc0-15851%22	https://code.jquery.com/jquery-3.4.1.min.js	C:/My%20Web%20Sites/charitize/code.jquery.com/jquery-3.4.1.min.js	(from https://themewagon.github.io/Charitize/)
20:46:36	79665/79665	U-----	200	untouched ('')	application/javascript	etag:W/%2213731-2JYXAt9UqpcPHzAIfI0LH2lnx4Q%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.0/dist/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/charitize/cdn.jsdelivr.net/npm/bootstrap@5.0.0/dist/js/bootstrap.bundle.min.js	(from https://themewagon.github.io/Charitize/)
20:46:43	2302/2302	U-----	200	untouched ('')	application/javascript	etag:W/%2268c66dc8-8fe%22	https://themewagon.github.io/Charitize/lib/easing/easing.min.js	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/lib/easing/easing.min.js	(from https://themewagon.github.io/Charitize/)
20:46:43	8156/8156	U-----	200	untouched ('')	application/javascript	etag:W/%2268c66dc8-1fdc%22	https://themewagon.github.io/Charitize/lib/wow/wow.min.js	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/lib/wow/wow.min.js	(from https://themewagon.github.io/Charitize/)
20:47:23	9028/9028	U-----	200	untouched ('')	application/javascript	etag:W/%2268c66dc8-2344%22	https://themewagon.github.io/Charitize/lib/waypoints/waypoints.min.js	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/lib/waypoints/waypoints.min.js	(from https://themewagon.github.io/Charitize/)
20:47:23	42766/42766	U-----	200	untouched ('')	application/javascript	etag:W/%2268c66dc8-a70e%22	https://themewagon.github.io/Charitize/lib/owlcarousel/owl.carousel.min.js	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/lib/owlcarousel/owl.carousel.min.js	(from https://themewagon.github.io/Charitize/)
20:47:38	2406/2406	U-----	200	untouched ('')	application/javascript	etag:W/%2268c66dc8-966%22	https://themewagon.github.io/Charitize/lib/counterup/counterup.min.js	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/lib/counterup/counterup.min.js	(from https://themewagon.github.io/Charitize/)
20:47:38	2719/2719	U-----	200	untouched ('')	application/javascript	etag:W/%2268c66dc8-a9f%22	https://themewagon.github.io/Charitize/js/main.js	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/js/main.js	(from https://themewagon.github.io/Charitize/)
20:48:12	113532/113532	U-----	200	untouched ('')	font/woff	etag:W/%221bb7c-47yt78jTFi+euyu4fJGbVQNZ9TA%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-icons.woff?231ce25e89ab5804f9a6c427b8d325c9	C:/My%20Web%20Sites/charitize/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-iconsfb95.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
20:48:13	85120/85120	U-----	200	untouched ('')	font/woff2	etag:W/%2214c80-7RZ9M14uDLAKgvLXNn8Fy01lV88%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-icons.woff2?231ce25e89ab5804f9a6c427b8d325c9	C:/My%20Web%20Sites/charitize/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-iconsfb95.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
20:48:27	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
20:48:27	4976/4976	U-----	200	untouched ('')	image/png	etag:%2268c66dc8-1370%22	https://themewagon.github.io/Charitize/lib/owlcarousel/assets/owl.video.play.png	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/lib/owlcarousel/assets/owl.video.play.png	(from https://themewagon.github.io/Charitize/lib/owlcarousel/assets/owl.carousel.min.css)
20:48:27	122710/122710	U-----	200	untouched ('')	image/jpeg	etag:%2268c66dc8-1df56%22	https://themewagon.github.io/Charitize/img/bg.jpg	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/img/bg.jpg	(from https://themewagon.github.io/Charitize/css/style.css)
20:48:27	285405/285405	U-----	200	untouched ('')	image/jpeg	etag:%2268c66dc8-45add%22	https://themewagon.github.io/Charitize/img/bg-footer.jpg	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/img/bg-footer.jpg	(from https://themewagon.github.io/Charitize/css/style.css)
